Date;type;nb;net;rope;Latitude;Longitude
05/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;43.282;-66.1843
04/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;44.02;-66.245
12/04/2020;CASIER/CAGE - TRAP/POT;10;0;0;43.475;-66.0361
05/04/2020;CASIER/CAGE - TRAP/POT;3;0;3;;
12/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;43.5031;-66.0317
18/04/2020;CASIER/CAGE - TRAP/POT;4;0;8;43.342;-66.101
17/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;43.3167;-65.7667
21/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;;
21/04/2020;CASIER/CAGE - TRAP/POT;2;0;0;43.4183;-65.6736
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.9723;-65.1153
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;111;45.2654;-60.5635
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;111;45.2303;-60.6884
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;111;45.2024;-60.7019
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;111;45.1905;-60.7241
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;111;45.0782;-60.8619
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;111;45.1115;-60.847
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;111;45.1154;-60.8421
25/04/2020;CASIER/CAGE - TRAP/POT;1;0;360;47.9728;-60.6017
26/04/2020;CASIER/CAGE - TRAP/POT;1;0;240;47.3138;-63.5787
25/04/2020;CASIER/CAGE - TRAP/POT;1;0;360;47.7633;-64.0953
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.635;-59.968
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6314;-59.9696
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6169;-59.9951
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6032;-60.0764
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;;
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6121;-60.0122
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6072;-60.0208
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6033;-60.0263
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.5955;-60.0515
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6097;-60.0585
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.5904;-60.0637
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.5902;-60.069
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.5889;-60.0764
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.59;-60.0729
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.6576;-59.9419
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.5908;-59.9419
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.643;-59.9613
24/04/2020;CASIER/CAGE - TRAP/POT;6;0;3060;47.7968;-60.7796
26/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.9423;-63.7608
25/04/2020;CASIER/CAGE - TRAP/POT;1;0;300;47.6698;-64.1274
25/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.7598;-63.0272
26/04/2020;CASIER/CAGE - TRAP/POT;1;0;300;47.8375;-60.8265
16/04/2020;CASIER/CAGE - TRAP/POT;1;0;900;44.3673;-60.2211
16/04/2020;CASIER/CAGE - TRAP/POT;1;0;900;45.3544;-60.2458
16/04/2020;CASIER/CAGE - TRAP/POT;1;0;900;45.344;-60.2667
16/04/2020;CASIER/CAGE - TRAP/POT;1;0;900;45.3116;-60.2533
27/04/2020;CASIER/CAGE - TRAP/POT;2;0;72;;
26/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.6947;-64.1293
26/04/2020;CASIER/CAGE - TRAP/POT;1;0;90;44.7681;-62.5209
26/04/2020;CASIER/CAGE - TRAP/POT;1;0;90;44.7747;-62.5325
25/04/2020;CASIER/CAGE - TRAP/POT;1;0;500;47.8033;-63.9511
01/04/2020;CASIER/CAGE - TRAP/POT;26;0;3400;44.4997;-63.503
;CASIER/CAGE - TRAP/POT;1;0;0;47.7961;-64.0667
28/04/2020;CASIER/CAGE - TRAP/POT;1;0;450;47.0794;-63.395
;CASIER/CAGE - TRAP/POT;2;0;0;43.4681;-65.8503
29/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.9445;-63.7852
29/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.4208;-63.2638
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.2135;-60.6935
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.2654;-60.5634
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.2303;-60.6884
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.2324;-60.7186
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.1905;-60.7241
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.0782;-60.8619
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.1117;-60.847
18/04/2020;CASIER/CAGE - TRAP/POT;1;0;780;45.1154;-60.8421
27/04/2020;CASIER/CAGE - TRAP/POT;1;0;210;47.7633;-64.102
27/04/2020;CASIER/CAGE - TRAP/POT;1;0;210;47.7378;-64.1783
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.2006;-62.6596
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;420;;
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;950;45.5955;-60.0515
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;48.012;-62.7772
24/04/2020;CASIER/CAGE - TRAP/POT;1;0;450;47.756;-64.0315
;CASIER/CAGE - TRAP/POT;1;0;0;See Notes;See Notes
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;500;48.2275;-64.6717
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;500;48.1017;-64.8237
27/04/2020;CASIER/CAGE - TRAP/POT;1;0;75;46.8337;-61.321
27/04/2020;CASIER/CAGE - TRAP/POT;1;0;75;46.7548;-61.4736
27/04/2020;CASIER/CAGE - TRAP/POT;1;0;80;46.7544;-61.4687
27/04/2020;CASIER/CAGE - TRAP/POT;1;0;75;46.7532;-61.4544
27/04/2020;CASIER/CAGE - TRAP/POT;1;0;498;47.4831;-62.5247
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.6279;-62.5156
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;46.9549;-62.8074
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;1200;45.188;-60.3301
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;1200;45.1874;-60.329
30/04/2020;CASIER/CAGE - TRAP/POT;1;0;0;45.1935;-60.3313
02/05/2020;CASIER/CAGE - TRAP/POT;1;0;0;47.945;-63.7867
02/05/2020;CASIER/CAGE - TRAP/POT;1;0;240;48.0128;-63.4949
02/05/2020;CASIER/CAGE - TRAP/POT;1;0;240;47.999;-63.3364
03/05/2020;CASIER/CAGE - TRAP/POT;1;0;420;47.3067;-62.5762
03/05/2020;CASIER/CAGE - TRAP/POT;1;0;420;47.4943;-62.5267
02/05/2020;CASIER/CAGE - TRAP/POT;2;0;3;;
26/04/2020;CASIER/CAGE - TRAP/POT;1;0;1000;47.7589;-60.7341
03/05/2020;CASIER/CAGE - TRAP/POT;1;0;440;47.6303;-64.0508
04/05/2020;CASIER/CAGE - TRAP/POT;8;0;0;44.411;-64.0485
03/05/2020;CASIER/CAGE - TRAP/POT;1;0;500;47.8818;-63.7688
