"TARGET NAME";"LAT";"LON";"CLASS"
"Sonar Contact 418";48.2571627588552;-64.5411027644956;
"Sonar Contact 419";48.2579776755707;-64.5396716343679;
"Sonar Contact 420";48.2588368502872;-64.5414762888463;
"Sonar Contact 421";48.2598878225135;-64.5383429945826;"casier"
"Sonar Contact 422";48.2624729280745;-64.5359882363255;
"Sonar Contact 423";48.2627777667628;-64.5356049312557;"casier"
"Sonar Contact 424";48.2642995921783;-64.535951051158;
"Sonar Contact 425";48.2636987362954;-64.5345693699763;
"Sonar Contact 426";48.2641767930311;-64.5366708917948;
"Sonar Contact 427";48.2649505591276;-64.5352115718891;
"Sonar Contact 428";48.2649733155877;-64.5351530469284;"casier"
"Sonar Contact 429";48.2743268187695;-64.5147187422613;
"Sonar Contact 430";48.273401301839;-64.513750702514;
"Sonar Contact 431";48.2733506023491;-64.5139035384441;
"Sonar Contact 432";48.2730653462093;-64.5111065238188;
"Sonar Contact 433";48.2740360124282;-64.5089596426604;
"Sonar Contact 434";48.273919340778;-64.5084432971777;
"Sonar Contact 435";48.2739253362985;-64.5084746271126;"casier"
"Sonar Contact 436";48.2739458907077;-64.5085022403326;"casier"
"Sonar Contact 437";48.272139483842;-64.5050155099647;"casier"
"Sonar Contact 438";48.271384837507;-64.5013865158748;
"Sonar Contact 439";48.2777252524665;-64.4927397031712;
"Sonar Contact 440";48.2777986822916;-64.4926774408732;
"Sonar Contact 441";48.2778441588242;-64.4926460106507;
"Sonar Contact 442";48.2786610046719;-64.4919837571246;
"Sonar Contact 443";48.2790487068792;-64.4914616515118;
"Sonar Contact 444";48.2735025206524;-64.4309214442109;
"Sonar Contact 445";48.2740234297745;-64.4290555328837;
"Sonar Contact 446";48.2742200907509;-64.4292618627423;
"Sonar Contact 447";48.2740071723578;-64.427652881298;
"Sonar Contact 448";48.2726288283639;-64.4273363800154;"casier"
"Sonar Contact 449";48.2734197555015;-64.4263034566811;
"Sonar Contact 450";48.2733777869121;-64.4258745462573;
"Sonar Contact 451";48.2731591775939;-64.425928874789;
"Sonar Contact 452";48.2731191811095;-64.4258582555271;
"Sonar Contact 453";48.2729891622225;-64.4254547416669;
"Sonar Contact 454";48.2727045136395;-64.4230929442869;
"Sonar Contact 455";48.2716487739715;-64.4212502108672;
"Sonar Contact 456";48.2708204489415;-64.4205554056823;
"Sonar Contact 457";48.2441520562021;-64.3971201564412;"casier"
"Sonar Contact 458";48.2440589500201;-64.397019723684;
"Sonar Contact 459";48.2435714106357;-64.3995442424378;
"Sonar Contact 460";48.2427288412657;-64.4024034382591;
"Sonar Contact 461";48.2434692928768;-64.4025715435869;
"Sonar Contact 462";48.2389410258522;-64.4143487835191;"casier"
