"TARGET NAME";"LAT";"LON";"CLASS"
"Sonar Contact 1";48.1397848764136;-64.6641950022108;"casier"
"Sonar Contact 2";48.1407457542091;-64.6637909413465;
"Sonar Contact 3";48.1413361239971;-64.6619413667247;
"Sonar Contact 4";48.1413122503179;-64.6593673870795;
"Sonar Contact 5";48.1416926275907;-64.6621957033709;
"Sonar Contact 6";48.1401275635223;-64.6623503625995;
"Sonar Contact 7";48.1404902971999;-64.6631151046978;
"Sonar Contact 8";48.1373776913286;-64.6670821334245;"casier"
"Sonar Contact 9";48.1372601361973;-64.6671964627732;"casier"
"Sonar Contact 10";48.1359140632724;-64.6677843958134;"casier"
"Sonar Contact 11";48.1361228835859;-64.6693148040889;"casier"
"Sonar Contact 12";48.1358214818941;-64.6698426165938;"casier"
"Sonar Contact 13";48.1350958340331;-64.6697464188761;"casier"
"Sonar Contact 14";48.1348286182243;-64.6696061174361;
"Sonar Contact 15";48.1347527629006;-64.6696317792242;
"Sonar Contact 16";48.1343916165915;-64.672167072016;
"Sonar Contact 17";48.1337506360122;-64.6712834429388;"casier"
"Sonar Contact 18";48.1329538226952;-64.6724273399335;"casier"
"Sonar Contact 19";48.1337448837897;-64.6730658749997;
"Sonar Contact 20";48.1324276975363;-64.7154316340855;"casier"
"Sonar Contact 21";48.1009268893728;-64.7390644394077;
"Sonar Contact 22";48.0973040889916;-64.7402953445926;
"Sonar Contact 23";48.0958221168832;-64.7415704765745;"casier"
"Sonar Contact 24";48.0953012350018;-64.740901175328;
"Sonar Contact 25";48.0935532771308;-64.740947789678;
"Sonar Contact 26";48.0999924431902;-64.7392508878776;
"Sonar Contact 27";48.0530691009016;-64.7881016316414;
"Sonar Contact 28";48.0511603946472;-64.7929453161086;
"Sonar Contact 29";48.0506778658353;-64.7935854296685;
"Sonar Contact 30";48.0502039716387;-64.7941823392234;
"Sonar Contact 31";48.0501378982264;-64.7943564432918;
"Sonar Contact 32";48.0482168430298;-64.7951864987578;
"Sonar Contact 33";48.0516480967265;-64.7920002522952;
"Sonar Contact 34";48.0515485388784;-64.7880856353519;
"Sonar Contact 35";48.0409769441794;-64.8590581159643;"casier"
"Sonar Contact 36";48.0412560509146;-64.858915665971;"casier"
"Sonar Contact 37";48.0409987963811;-64.8591633888247;"casier"
"Sonar Contact 38";48.0416858168591;-64.8588981818283;"casier"
"Sonar Contact 39";48.0416107635481;-64.8606184422908;
"Sonar Contact 40";48.0416110389305;-64.8610568786543;"casier"
"Sonar Contact 41";48.0417379046873;-64.8610291697902;
"Sonar Contact 42";48.0418955822461;-64.8607373029422;
"Sonar Contact 43";48.0421552332299;-64.8612997838393;
"Sonar Contact 44";48.0418280034229;-64.8618970295916;
"Sonar Contact 45";48.04213052497;-64.8616912172777;
"Sonar Contact 46";48.0433173253012;-64.8612051608553;
"Sonar Contact 47";48.0433723412655;-64.8619946166519;"casier"
"Sonar Contact 48";48.0428485736992;-64.8636543928705;"casier"
"Sonar Contact 49";48.043136924643;-64.8640165201636;"casier"
"Sonar Contact 50";48.0432106475042;-64.8642355759923;
"Sonar Contact 51";48.0432196772911;-64.8644732676935;"casier"
"Sonar Contact 52";48.0440496608542;-64.8630707874012;
"Sonar Contact 53";48.0437198557942;-64.8644081340917;"casier"
"Sonar Contact 54";48.0455186387483;-64.8669657095592;
"Sonar Contact 55";48.0457006011892;-64.8693685372113;"casier"
"Sonar Contact 56";48.0486213086805;-64.8729109070269;
"Sonar Contact 57";48.0486752148724;-64.8728411433088;
"Sonar Contact 58";48.0527534213447;-64.8777663132858;
"Sonar Contact 59";48.0542108780319;-64.8796273829277;
"Sonar Contact 60";48.0536991451596;-64.8815951562383;
"Sonar Contact 61";48.0560943383677;-64.8838326908452;
"Sonar Contact 62";48.0580128846893;-64.8895043574353;
"Sonar Contact 63";48.0576502808215;-64.891355926522;"casier"
"Sonar Contact 64";48.0611604554792;-64.9022008757824;
"Sonar Contact 65";48.0603979018637;-64.9033223963145;"casier"
"Sonar Contact 66";48.0611058309939;-64.9044460008621;"casier"
"Sonar Contact 67";48.0617759560676;-64.9040806022126;
"Sonar Contact 68";48.061377037085;-64.9052222045362;
"Sonar Contact 69";48.0619217003463;-64.9067276763036;
"Sonar Contact 70";48.0681195191987;-64.9246539644082;"casier"
"Sonar Contact 71";48.0678863396723;-64.9254959392238;
"Sonar Contact 72";48.0676991734479;-64.9268866783111;
"Sonar Contact 73";48.0681282800668;-64.9265847463525;
"Sonar Contact 74";48.0687107387323;-64.9265300645304;"casier"
"Sonar Contact 75";48.0692476688787;-64.9279409012468;
"Sonar Contact 76";48.0691098822638;-64.9284586821119;
"Sonar Contact 77";48.0685210061097;-64.9295428878942;"casier"
"Sonar Contact 78";48.0691466119014;-64.9299462162902;
"Sonar Contact 79";48.0698771487858;-64.9322022660175;
"Sonar Contact 80";48.0705436379085;-64.9321891705743;"casier"
"Sonar Contact 81";48.0709125667043;-64.9348523041768;
"Sonar Contact 82";48.0703724881856;-64.9359352532049;"casier"
"Sonar Contact 83";48.0700265619063;-64.9359347710519;"casier"
"Sonar Contact 84";48.0695044380795;-64.9378385235046;
"Sonar Contact 85";48.069284589891;-64.9395226733085;
"Sonar Contact 86";48.0314344367764;-64.9558639571711;"casier"
"Sonar Contact 87";48.0322450758204;-64.957444025813;
"Sonar Contact 88";48.0310446843293;-64.9559351670448;"casier"
"Sonar Contact 89";48.0310615985362;-64.9562081448723;"casier"
"Sonar Contact 90";48.0310101419242;-64.9562928007513;"casier"
"Sonar Contact 91";48.031784814284;-64.9581322756425;
"Sonar Contact 92";48.0309795039669;-64.9576929957854;
