"TargetName";"ClickLat";"ClickLon";"UserClass1"
"Contact0008";48.04672815;-63.60283333;
"Contact0009";48.04622357;-63.59236443;
"Contact0011";48.04780803;-63.54416357;
"Contact0012";48.04705689;-63.51842196;
"Contact0013";48.04849847;-63.51693907;
"Contact0015";48.04826406;-63.51366303;
"Contact0016";48.04518072;-63.65570596;
"Contact0017";48.04587432;-63.64677372;
"Contact0019";48.04455045;-63.62375451;
"Contact0022";48.04355536;-63.5851484;
"Contact0023";48.04550202;-63.5833925;
"Contact0024";48.04401592;-63.5788969;
"Contact0026";48.04381666;-63.54427725;
"Contact0028";48.04462652;-63.53147883;
"Contact0030";48.04525824;-63.52473495;
"Contact0031";48.04430387;-63.51373452;
"Contact0032";48.04561649;-63.50765991;
"Contact0033";48.04618313;-63.50377032;
"Contact0035";48.04317514;-63.49928289;
"Contact0036";48.04298882;-63.49928448;
"Contact0037";48.04350545;-63.49949027;
"Contact0038";48.04161166;-63.49870011;
"Contact0039";48.04222568;-63.50666149;
"Contact0041";48.04329038;-63.51186728;
"Contact0044";48.04223117;-63.52488051;
"Contact0045";48.04292301;-63.52529741;
"Contact0046";48.04287285;-63.52614475;
"Contact0048";48.04195147;-63.53939262;
"Contact0049";48.04140668;-63.54306478;
"Contact0050";48.04192151;-63.54974578;
"Contact0051";48.04129452;-63.55099873;
"Contact0056";48.04303394;-63.59010351;
"Contact0057";48.04203195;-63.59402305;
"Contact0059";48.04321044;-63.59221574;
"Contact0060";48.04148027;-63.59637644;
"Contact0063";48.04239583;-63.62036577;
"Contact0064";48.04238129;-63.62244286;
"Contact0071";48.04091348;-63.6277735;
"Contact0076";48.04295079;-63.63559208;
"Contact0079";48.04302148;-63.64131841;
"Contact0080";48.0409016;-63.64136674;
"Contact0081";48.04007952;-63.65610199;
"Contact0087";48.0384913;-63.64331994;
"Contact0091";48.04084385;-63.64051761;
"Contact0093";48.04033001;-63.63890289;
"Contact0094";48.04058254;-63.63715582;
"Contact0095";48.03930324;-63.63433203;
"Contact0096";48.03956326;-63.63370082;
"Contact0097";48.03932936;-63.63259628;
"Contact0099";48.03955382;-63.63062511;
"Contact0100";48.03879964;-63.62879409;
"Contact0101";48.03921457;-63.62077344;
"Contact0102";48.03993706;-63.61864599;
"Contact0103";48.04088221;-63.61168433;
"Contact0104";48.04042611;-63.60817977;
"Contact0105";48.03903556;-63.60013232;
"Contact0106";48.03950303;-63.60101952;
"Contact0108";48.03989398;-63.57889915;
"Contact0109";48.03933685;-63.5715629;
"Contact0110";48.03885183;-63.56795494;
"Contact0111";48.03893206;-63.55807503;
"Contact0113";48.04021185;-63.54661792;
"Contact0114";48.04073623;-63.54579371;
"Contact0115";48.03926004;-63.54349697;
"Contact0116";48.04061001;-63.54189463;
"Contact0117";48.04055438;-63.53606556;
"Contact0118";48.04045279;-63.53537265;
"Contact0119";48.04074266;-63.53318175;
"Contact0121";48.03860171;-63.53093637;
"Contact0122";48.03877056;-63.52516608;
"Contact0123";48.03908664;-63.51653827;
"Contact0126";48.03799418;-63.49886178;
"Contact0127";48.03773713;-63.49893959;
"Contact0128";48.03781606;-63.50847308;
"Contact0129";48.03666373;-63.51885706;
"Contact0130";48.038513;-63.50925726;
"Contact0134";48.03794009;-63.55290665;
"Contact0135";48.03589066;-63.56126982;
"Contact0138";48.03750813;-63.58054275;
"Contact0139";48.0368653;-63.5945514;
"Contact0142";48.03604481;-63.62850304;
"Contact0143";48.03540459;-63.6278025;
"Contact0144";48.0360423;-63.62982424;
"Contact0145";48.0370777;-63.63400228;
"Contact0146";48.03718174;-63.66538379;
"Contact0147";48.0374801;-63.6506426;
"Contact0148";48.0340931;-63.65289764;
"Contact0151";48.03486751;-63.6423541;
"Contact0158";48.03359079;-63.62683891;
"Contact0159";48.03508117;-63.62430903;
"Contact0162";48.03336622;-63.62132051;
"Contact0163";48.03375705;-63.59740237;
"Contact0165";48.03495928;-63.58823384;
"Contact0166";48.03469211;-63.58604893;
"Contact0167";48.03557502;-63.58516139;
"Contact0168";48.03402981;-63.57864509;
"Contact0169";48.03515006;-63.57751082;
"Contact0171";48.033548;-63.57185903;
"Contact0172";48.03452638;-63.54032559;
"Contact0174";48.03426143;-63.53556263;
"Contact0176";48.03427273;-63.52697733;
"Contact0180";48.03408125;-63.51966039;
"Contact0181";48.03437567;-63.5179667;
"Contact0182";48.03542462;-63.51182143;
"Contact0184";48.03119667;-63.51978826;
"Contact0185";48.03236182;-63.52936949;
"Contact0186";48.03174757;-63.52990483;
"Contact0187";48.03275207;-63.53654255;
"Contact0188";48.03318409;-63.53857159;
"Contact0190";48.0328636;-63.54904595;
"Contact0191";48.03294124;-63.55215378;
"Contact0193";48.0321676;-63.57001212;
"Contact0194";48.0311886;-63.56954966;
"Contact0195";48.03156797;-63.57369364;
"Contact0196";48.0322831;-63.5784114;
"Contact0197";48.03148704;-63.59955524;
"Contact0198";48.03084733;-63.60264835;
"Contact0200";48.03243165;-63.62665709;
"Contact0202";48.03122261;-63.63074431;
"Contact0204";48.0324351;-63.64088379;
"Contact0205";48.03096721;-63.64162098;
"Contact0206";48.0332298;-63.64578143;
"Contact0208";48.03233702;-63.65060339;
"Contact0209";48.03074654;-63.65370311;
"Contact0214";48.02987988;-63.64541614;
"Contact0215";48.02873897;-63.63538954;
"Contact0217";48.03012765;-63.63114856;
"Contact0218";48.02906868;-63.62831687;
"Contact0219";48.02997263;-63.62635587;
"Contact0221";48.03075359;-63.58114221;
"Contact0222";48.03039601;-63.58198457;
"Contact0224";48.02886505;-63.57857793;
"Contact0225";48.03060073;-63.57493319;
"Contact0226";48.0289191;-63.57299656;
"Contact0227";48.02846377;-63.57097856;
"Contact0228";48.02862452;-63.56683155;
"Contact0229";48.02872263;-63.56159751;
"Contact0232";48.02901226;-63.55281671;
"Contact0233";48.03027948;-63.54824606;
"Contact0236";48.02720015;-63.50027781;
"Contact0237";48.02660087;-63.50169122;
"Contact0239";48.02792215;-63.5088773;
"Contact0240";48.02728324;-63.51131696;
"Contact0242";48.02716304;-63.51365836;
"Contact0243";48.0266913;-63.51425846;
"Contact0246";48.02767808;-63.53219779;
"Contact0247";48.02815166;-63.53563634;
"Contact0248";48.02642753;-63.54019449;
"Contact0249";48.02798326;-63.54399322;
"Contact0250";48.02642858;-63.56917666;
"Contact0251";48.02607292;-63.5751405;
"Contact0252";48.02730888;-63.5901805;
"Contact0255";48.02705587;-63.64426252;
"Contact0256";48.02743482;-63.64167206;
"Contact0257";48.02701548;-63.64499519;
