"TargetName";"ClickLat";"ClickLon";"UserClass1"
"Contact0010";48.04799591;-63.55765826;"C+"
"Contact0021";48.04401028;-63.59555984;"C+"
"Contact0034";48.0429918;-63.49870624;"C+"
"Contact0047";48.04292281;-63.53229935;"C+"
"Contact0052";48.04332965;-63.57826903;"C+"
"Contact0053";48.04297152;-63.57984944;"C+"
"Contact0054";48.04313071;-63.57959293;"C+"
"Contact0055";48.04105682;-63.58214328;"C+"
"Contact0058";48.04160079;-63.59325192;"C+"
"Contact0061";48.0415061;-63.61635224;"C+"
"Contact0066";48.04093626;-63.62335867;"C+"
"Contact0067";48.04120134;-63.62220283;"C+"
"Contact0072";48.04198281;-63.63248347;"C+"
"Contact0073";48.04316291;-63.63335081;"C+"
"Contact0089";48.04014241;-63.64242495;"C+"
"Contact0090";48.04025321;-63.64244318;"C+"
"Contact0092";48.03937265;-63.63815519;"C+"
"Contact0120";48.0387261;-63.53034769;"C+"
"Contact0124";48.03891384;-63.50870581;"C+"
"Contact0125";48.0399917;-63.50861941;"C+"
"Contact0132";48.03812617;-63.54412163;"C+"
"Contact0136";48.03786799;-63.57515088;"C+"
"Contact0137";48.03780643;-63.57552134;"C+"
"Contact0150";48.03334879;-63.64912421;"C+"
"Contact0152";48.03324129;-63.64050705;"C+"
"Contact0153";48.0330676;-63.63955731;"C+"
"Contact0160";48.03490997;-63.6245015;"C+"
"Contact0161";48.03303418;-63.62419859;"C+"
"Contact0175";48.03411766;-63.53222706;"C+"
"Contact0179";48.03533016;-63.5175358;"C+"
"Contact0189";48.03272566;-63.54656354;"C+"
"Contact0201";48.03121672;-63.63057676;"C+"
"Contact0203";48.03260643;-63.63847597;"C+"
"Contact0210";48.02952284;-63.66013426;"C+"
"Contact0211";48.03016581;-63.65307225;"C+"
"Contact0212";48.02886647;-63.65099433;"C+"
"Contact0213";48.03029326;-63.64620389;"C+"
"Contact0216";48.02861246;-63.6332233;"C+"
"Contact0253";48.02594173;-63.62642166;"C+"
"Contact0254";48.02632358;-63.62712964;"C+"
"Contact0300";48.01573376;-63.5829764;"C+"
"Contact0314";48.01772868;-63.63973006;"C+"
"Contact0335";48.01523218;-63.60900049;"C+"
"Contact0337";48.01472891;-63.60440074;"C+"
"Contact0338";48.01381286;-63.60099168;"C+"
"Contact0345";48.01586376;-63.58272611;"C+"
"Contact0374";48.00990489;-63.65705804;"C+"
"Contact0381";48.00990347;-63.59956089;"C+"
"Contact0383";48.00828166;-63.58722483;"C+"
"Contact0420";48.00547074;-63.65639179;"C+"
"Contact0435";48.00240408;-63.59896287;"C+"
"Contact0440";48.00299189;-63.63423532;"C+"
