"TargetName";"ClickLat";"ClickLon";"UserClass1"
"Contact0014";48.04707843;-63.51474716;"C"
"Contact0018";48.04429554;-63.63797999;"C"
"Contact0020";48.04377269;-63.61906768;"C"
"Contact0025";48.04487705;-63.55039285;"C"
"Contact0027";48.04441436;-63.53897345;"C"
"Contact0029";48.04398964;-63.52802097;"C"
"Contact0040";48.04207891;-63.50818861;"C"
"Contact0042";48.04152864;-63.51324759;"C"
"Contact0043";48.0426905;-63.51594651;"C"
"Contact0062";48.04318457;-63.61713457;"C"
"Contact0065";48.04132669;-63.62570686;"C"
"Contact0068";48.04226822;-63.62289825;"C"
"Contact0069";48.04096203;-63.62378397;"C"
"Contact0070";48.04234555;-63.62527855;"C"
"Contact0074";48.04153311;-63.63431206;"C"
"Contact0075";48.04324882;-63.63432585;"C"
"Contact0077";48.04312087;-63.63724465;"C"
"Contact0078";48.04093018;-63.639554;"C"
"Contact0082";48.03853316;-63.65498831;"C"
"Contact0083";48.03927483;-63.65014518;"C"
"Contact0084";48.03922614;-63.6461559;"C"
"Contact0085";48.03869236;-63.64536552;"C"
"Contact0086";48.03897549;-63.64440315;"C"
"Contact0088";48.03897704;-63.64294865;"C"
"Contact0098";48.03908856;-63.63098853;"C"
"Contact0107";48.03868625;-63.58908573;"C"
"Contact0112";48.0408578;-63.54693843;"C"
"Contact0131";48.03660698;-63.51416022;"C"
"Contact0133";48.03618804;-63.54989037;"C"
"Contact0140";48.03696937;-63.6248595;"C"
"Contact0141";48.03782611;-63.62262989;"C"
"Contact0149";48.03544323;-63.65076627;"C"
"Contact0154";48.03354586;-63.63838477;"C"
"Contact0155";48.03480034;-63.63363229;"C"
"Contact0156";48.03296063;-63.63047478;"C"
"Contact0157";48.03466889;-63.62804093;"C"
"Contact0164";48.03403963;-63.59187158;"C"
"Contact0170";48.03413672;-63.57445985;"C"
"Contact0173";48.03403561;-63.53635969;"C"
"Contact0177";48.03530553;-63.5276753;"C"
"Contact0178";48.03563181;-63.52514504;"C"
"Contact0183";48.03557898;-63.50378143;"C"
"Contact0192";48.03240534;-63.5640868;"C"
"Contact0199";48.03233534;-63.620081;"C"
"Contact0207";48.03301619;-63.64888844;"C"
"Contact0220";48.02866029;-63.60890788;"C"
"Contact0223";48.03030676;-63.57735649;"C"
"Contact0230";48.03024107;-63.55345653;"C"
"Contact0231";48.03052945;-63.55263017;"C"
"Contact0234";48.02806018;-63.56483243;"C"
"Contact0235";48.02985251;-63.5768046;"C"
"Contact0238";48.02623558;-63.50602967;"C"
"Contact0241";48.02648885;-63.51380902;"C"
"Contact0244";48.02615834;-63.52224484;"C"
"Contact0245";48.02617334;-63.52879846;"C"
"Contact0258";48.02736312;-63.66283977;"C"
"Contact0259";48.02756154;-63.66334483;"C"
"Contact0262";48.02147054;-63.50847507;"C"
"Contact0268";48.02275619;-63.52908888;"C"
"Contact0269";48.02278928;-63.53004838;"C"
"Contact0271";48.02313311;-63.53119969;"C"
"Contact0279";48.02150252;-63.62148891;"C"
"Contact0280";48.02066563;-63.64260578;"C"
"Contact0282";48.02135933;-63.65610439;"C"
"Contact0285";48.01730001;-63.52271093;"C"
"Contact0288";48.01563664;-63.58283127;"C"
"Contact0289";48.01738671;-63.59264157;"C"
"Contact0297";48.01804398;-63.57863293;"C"
"Contact0299";48.01768872;-63.57945769;"C"
"Contact0301";48.01589458;-63.60923989;"C"
"Contact0303";48.01800965;-63.61150775;"C"
"Contact0304";48.01552217;-63.61270113;"C"
"Contact0305";48.01565682;-63.61903641;"C"
"Contact0306";48.01792929;-63.62088068;"C"
"Contact0307";48.01772811;-63.62237498;"C"
"Contact0316";48.01607165;-63.64178084;"C"
"Contact0318";48.01540588;-63.64742957;"C"
"Contact0320";48.01730189;-63.6534484;"C"
"Contact0321";48.01752182;-63.65335817;"C"
"Contact0323";48.0159026;-63.66140213;"C"
"Contact0324";48.01513284;-63.65068896;"C"
"Contact0325";48.01509316;-63.63857206;"C"
"Contact0326";48.015097;-63.6386517;"C"
"Contact0327";48.01497743;-63.63859123;"C"
"Contact0328";48.01498374;-63.63042769;"C"
"Contact0329";48.01337031;-63.62970928;"C"
"Contact0330";48.01476266;-63.62566635;"C"
"Contact0336";48.0150899;-63.60537055;"C"
"Contact0340";48.01529788;-63.59651543;"C"
"Contact0343";48.01365689;-63.58580346;"C"
"Contact0346";48.01423182;-63.58184928;"C"
"Contact0351";48.01528523;-63.52268074;"C"
"Contact0352";48.0156303;-63.52013978;"C"
"Contact0354";48.01528334;-63.5113391;"C"
"Contact0355";48.01295604;-63.51190702;"C"
"Contact0358";48.01297829;-63.54376922;"C"
"Contact0363";48.01209806;-63.61255612;"C"
"Contact0365";48.01081045;-63.63550358;"C"
"Contact0369";48.01115523;-63.65549583;"C"
"Contact0375";48.00838305;-63.64877579;"C"
"Contact0378";48.00848927;-63.61488115;"C"
"Contact0379";48.00913037;-63.61397445;"C"
"Contact0386";48.00923696;-63.57171053;"C"
"Contact0395";48.01007427;-63.5068069;"C"
"Contact0396";48.00757896;-63.50753635;"C"
"Contact0397";48.00620806;-63.51280013;"C"
"Contact0398";48.00827945;-63.51351394;"C"
"Contact0405";48.00750574;-63.54796754;"C"
"Contact0410";48.00597528;-63.59553516;"C"
"Contact0412";48.0084397;-63.63242473;"C"
"Contact0413";48.00769509;-63.63400689;"C"
"Contact0414";48.00856266;-63.64861844;"C"
"Contact0418";48.00584985;-63.65915364;"C"
"Contact0425";48.00513952;-63.61723652;"C"
"Contact0426";48.00569797;-63.6034064;"C"
"Contact0427";48.00450072;-63.59518154;"C"
"Contact0438";48.00152122;-63.61901511;"C"
"Contact0446";47.99812308;-63.66652055;"C"
"Contact0449";47.99981187;-63.66001158;"C"
"Contact0450";47.99855505;-63.65018396;"C"
"Contact0451";47.99854385;-63.65024242;"C"
"Contact0452";47.998551;-63.65028447;"C"
"Contact0453";47.99856171;-63.65034343;"C"
"Contact0454";48.00067466;-63.6482556;"C"
"Contact0455";47.99903402;-63.64563247;"C"
"Contact0456";47.99899661;-63.64338263;"C"
"Contact0457";48.00114317;-63.62264907;"C"
"Contact0462";47.99905959;-63.59563637;"C"
