TargetName,ClickLat,ClickLon,UserClass1,ClickLatDMS,ClickLonDMS
Contact0008,48.04672815,-63.60283333,,"48° 02' 48.22"" N","063° 36' 10.19"" W"
Contact0009,48.04622357,-63.59236443,,"48° 02' 46.40"" N","063° 35' 32.51"" W"
Contact0010,48.04799591,-63.55765826,C+,"48° 02' 52.78"" N","063° 33' 27.56"" W"
Contact0011,48.04780803,-63.54416357,,"48° 02' 52.10"" N","063° 32' 38.98"" W"
Contact0012,48.04705689,-63.51842196,,"48° 02' 49.40"" N","063° 31' 06.31"" W"
Contact0013,48.04849847,-63.51693907,,"48° 02' 54.59"" N","063° 31' 00.98"" W"
Contact0014,48.04707843,-63.51474716,C,"48° 02' 49.48"" N","063° 30' 53.08"" W"
Contact0015,48.04826406,-63.51366303,,"48° 02' 53.75"" N","063° 30' 49.18"" W"
Contact0016,48.04518072,-63.65570596,,"48° 02' 42.65"" N","063° 39' 20.54"" W"
Contact0017,48.04587432,-63.64677372,,"48° 02' 45.14"" N","063° 38' 48.38"" W"
Contact0018,48.04429554,-63.63797999,C,"48° 02' 39.46"" N","063° 38' 16.72"" W"
Contact0019,48.04455045,-63.62375451,,"48° 02' 40.38"" N","063° 37' 25.51"" W"
Contact0020,48.04377269,-63.61906768,C,"48° 02' 37.58"" N","063° 37' 08.64"" W"
Contact0021,48.04401028,-63.59555984,C+,"48° 02' 38.43"" N","063° 35' 44.01"" W"
Contact0022,48.04355536,-63.5851484,,"48° 02' 36.79"" N","063° 35' 06.53"" W"
Contact0023,48.04550202,-63.5833925,,"48° 02' 43.80"" N","063° 35' 00.21"" W"
Contact0024,48.04401592,-63.5788969,,"48° 02' 38.45"" N","063° 34' 44.02"" W"
Contact0025,48.04487705,-63.55039285,C,"48° 02' 41.55"" N","063° 33' 01.41"" W"
Contact0026,48.04381666,-63.54427725,,"48° 02' 37.73"" N","063° 32' 39.39"" W"
Contact0027,48.04441436,-63.53897345,C,"48° 02' 39.89"" N","063° 32' 20.30"" W"
Contact0028,48.04462652,-63.53147883,,"48° 02' 40.65"" N","063° 31' 53.32"" W"
Contact0029,48.04398964,-63.52802097,C,"48° 02' 38.36"" N","063° 31' 40.87"" W"
Contact0030,48.04525824,-63.52473495,,"48° 02' 42.92"" N","063° 31' 29.04"" W"
Contact0031,48.04430387,-63.51373452,,"48° 02' 39.49"" N","063° 30' 49.44"" W"
Contact0032,48.04561649,-63.50765991,,"48° 02' 44.21"" N","063° 30' 27.57"" W"
Contact0033,48.04618313,-63.50377032,,"48° 02' 46.25"" N","063° 30' 13.57"" W"
Contact0034,48.0429918,-63.49870624,C+,"48° 02' 34.77"" N","063° 29' 55.34"" W"
Contact0035,48.04317514,-63.49928289,,"48° 02' 35.43"" N","063° 29' 57.41"" W"
Contact0036,48.04298882,-63.49928448,,"48° 02' 34.75"" N","063° 29' 57.42"" W"
Contact0037,48.04350545,-63.49949027,,"48° 02' 36.61"" N","063° 29' 58.16"" W"
Contact0038,48.04161166,-63.49870011,,"48° 02' 29.80"" N","063° 29' 55.32"" W"
Contact0039,48.04222568,-63.50666149,,"48° 02' 32.01"" N","063° 30' 23.98"" W"
Contact0040,48.04207891,-63.50818861,C,"48° 02' 31.48"" N","063° 30' 29.47"" W"
Contact0041,48.04329038,-63.51186728,,"48° 02' 35.84"" N","063° 30' 42.72"" W"
Contact0042,48.04152864,-63.51324759,C,"48° 02' 29.50"" N","063° 30' 47.69"" W"
Contact0043,48.0426905,-63.51594651,C,"48° 02' 33.68"" N","063° 30' 57.40"" W"
Contact0044,48.04223117,-63.52488051,,"48° 02' 32.03"" N","063° 31' 29.56"" W"
Contact0045,48.04292301,-63.52529741,,"48° 02' 34.52"" N","063° 31' 31.07"" W"
Contact0046,48.04287285,-63.52614475,,"48° 02' 34.34"" N","063° 31' 34.12"" W"
Contact0047,48.04292281,-63.53229935,C+,"48° 02' 34.52"" N","063° 31' 56.27"" W"
Contact0048,48.04195147,-63.53939262,,"48° 02' 31.02"" N","063° 32' 21.81"" W"
Contact0049,48.04140668,-63.54306478,,"48° 02' 29.06"" N","063° 32' 35.03"" W"
Contact0050,48.04192151,-63.54974578,,"48° 02' 30.91"" N","063° 32' 59.08"" W"
Contact0051,48.04129452,-63.55099873,,"48° 02' 28.66"" N","063° 33' 03.59"" W"
Contact0052,48.04332965,-63.57826903,C+,"48° 02' 35.98"" N","063° 34' 41.76"" W"
Contact0053,48.04297152,-63.57984944,C+,"48° 02' 34.69"" N","063° 34' 47.45"" W"
Contact0054,48.04313071,-63.57959293,C+,"48° 02' 35.27"" N","063° 34' 46.53"" W"
Contact0055,48.04105682,-63.58214328,C+,"48° 02' 27.80"" N","063° 34' 55.71"" W"
Contact0056,48.04303394,-63.59010351,,"48° 02' 34.92"" N","063° 35' 24.37"" W"
Contact0057,48.04203195,-63.59402305,,"48° 02' 31.31"" N","063° 35' 38.48"" W"
Contact0058,48.04160079,-63.59325192,C+,"48° 02' 29.76"" N","063° 35' 35.70"" W"
Contact0059,48.04321044,-63.59221574,,"48° 02' 35.55"" N","063° 35' 31.97"" W"
Contact0060,48.04148027,-63.59637644,,"48° 02' 29.32"" N","063° 35' 46.95"" W"
Contact0061,48.0415061,-63.61635224,C+,"48° 02' 29.42"" N","063° 36' 58.86"" W"
Contact0062,48.04318457,-63.61713457,C,"48° 02' 35.46"" N","063° 37' 01.68"" W"
Contact0063,48.04239583,-63.62036577,,"48° 02' 32.62"" N","063° 37' 13.31"" W"
Contact0064,48.04238129,-63.62244286,,"48° 02' 32.57"" N","063° 37' 20.79"" W"
Contact0065,48.04132669,-63.62570686,C,"48° 02' 28.77"" N","063° 37' 32.54"" W"
Contact0066,48.04093626,-63.62335867,C+,"48° 02' 27.37"" N","063° 37' 24.09"" W"
Contact0067,48.04120134,-63.62220283,C+,"48° 02' 28.32"" N","063° 37' 19.93"" W"
Contact0068,48.04226822,-63.62289825,C,"48° 02' 32.16"" N","063° 37' 22.43"" W"
Contact0069,48.04096203,-63.62378397,C,"48° 02' 27.46"" N","063° 37' 25.62"" W"
Contact0070,48.04234555,-63.62527855,C,"48° 02' 32.44"" N","063° 37' 31.00"" W"
Contact0071,48.04091348,-63.6277735,,"48° 02' 27.28"" N","063° 37' 39.98"" W"
Contact0072,48.04198281,-63.63248347,C+,"48° 02' 31.13"" N","063° 37' 56.94"" W"
Contact0073,48.04316291,-63.63335081,C+,"48° 02' 35.38"" N","063° 38' 00.06"" W"
Contact0074,48.04153311,-63.63431206,C,"48° 02' 29.51"" N","063° 38' 03.52"" W"
Contact0075,48.04324882,-63.63432585,C,"48° 02' 35.69"" N","063° 38' 03.57"" W"
Contact0076,48.04295079,-63.63559208,,"48° 02' 34.62"" N","063° 38' 08.13"" W"
Contact0077,48.04312087,-63.63724465,C,"48° 02' 35.23"" N","063° 38' 14.08"" W"
Contact0078,48.04093018,-63.639554,C,"48° 02' 27.34"" N","063° 38' 22.39"" W"
Contact0079,48.04302148,-63.64131841,,"48° 02' 34.87"" N","063° 38' 28.74"" W"
Contact0080,48.0409016,-63.64136674,,"48° 02' 27.24"" N","063° 38' 28.92"" W"
Contact0081,48.04007952,-63.65610199,,"48° 02' 24.28"" N","063° 39' 21.96"" W"
Contact0082,48.03853316,-63.65498831,C,"48° 02' 18.71"" N","063° 39' 17.95"" W"
Contact0083,48.03927483,-63.65014518,C,"48° 02' 21.38"" N","063° 39' 00.52"" W"
Contact0084,48.03922614,-63.6461559,C,"48° 02' 21.21"" N","063° 38' 46.16"" W"
Contact0085,48.03869236,-63.64536552,C,"48° 02' 19.29"" N","063° 38' 43.31"" W"
Contact0086,48.03897549,-63.64440315,C,"48° 02' 20.31"" N","063° 38' 39.85"" W"
Contact0087,48.0384913,-63.64331994,,"48° 02' 18.56"" N","063° 38' 35.95"" W"
Contact0088,48.03897704,-63.64294865,C,"48° 02' 20.31"" N","063° 38' 34.61"" W"
Contact0089,48.04014241,-63.64242495,C+,"48° 02' 24.51"" N","063° 38' 32.72"" W"
Contact0090,48.04025321,-63.64244318,C+,"48° 02' 24.91"" N","063° 38' 32.79"" W"
Contact0091,48.04084385,-63.64051761,,"48° 02' 27.03"" N","063° 38' 25.86"" W"
Contact0092,48.03937265,-63.63815519,C+,"48° 02' 21.74"" N","063° 38' 17.35"" W"
Contact0093,48.04033001,-63.63890289,,"48° 02' 25.18"" N","063° 38' 20.05"" W"
Contact0094,48.04058254,-63.63715582,,"48° 02' 26.09"" N","063° 38' 13.76"" W"
Contact0095,48.03930324,-63.63433203,,"48° 02' 21.49"" N","063° 38' 03.59"" W"
Contact0096,48.03956326,-63.63370082,,"48° 02' 22.42"" N","063° 38' 01.32"" W"
Contact0097,48.03932936,-63.63259628,,"48° 02' 21.58"" N","063° 37' 57.34"" W"
Contact0098,48.03908856,-63.63098853,C,"48° 02' 20.71"" N","063° 37' 51.55"" W"
