"TargetName";"LAT";"LON";"Course made Good of Fish";"RangeToTarget";"UserClass1"
"Contact0020";48.20006849;-64.47188178;65.73645635;42.13669542;"casier+"
"Contact0023";48.2016323;-64.38883095;75.97098378;77.17319177;"casier+"
"Contact0039";48.20959008;-64.36941458;45.60209587;73.05905773;"casier+"
"Contact0047";48.19180744;-64.38470257;308.6914546;88.18845388;"casier+"
"Contact0061";48.23339086;-64.43563862;355.047897;76.70869277;"casier+"
"Contact0118";48.23904565;-64.52409603;82.8109222;67.75049768;"Corde"
"Contact0127";48.24199419;-64.5087385;80.3337942;87.25945587;"casier+"
"Contact0129";48.24210087;-64.5055287;74.04530794;53.88188454;"casier+"
"Contact0134";48.24452014;-64.48095158;79.55942317;76.57597877;"corde"
"Contact0147";48.24426619;-64.47416721;82.65898314;66.55607167;"corde"
"Contact0160";48.24557814;-64.46322027;79.26153071;59.9203716;"corde"
"Contact0162";48.24629083;-64.46285111;74.20935754;11.67883212;"corde"
"Contact0166";48.24742131;-64.4574984;89.23166659;69.8739217;"corde"
"Contact0169";48.24770338;-64.45350141;83.60127151;85.93231586;"casier+"
"Contact0174";48.24676463;-64.44441;81.21239915;69.7412077;"casier+"
"Contact0180";48.24901448;-64.4345958;90.77726399;44.19376244;"casier+"
"Contact0181";48.24876652;-64.43281127;84.79705774;72.26277372;"casier+"
"Contact0197";48.25260045;-64.40844099;80.5500411;77.63769078;"corde"
"Contact0198";48.25271027;-64.40824196;80.70369288;87.39216987;"corde"
"Contact0201";48.25448549;-64.39783062;65.26073241;51.62574652;"corde"
"Contact0202";48.25488353;-64.39787751;63.308859;93.03251493;"corde"
"Contact0203";48.25411713;-64.39568263;74.94448933;48.83875249;"corde"
"Contact0229";48.25436302;-64.37113094;257.0771723;37.29263437;"casier+"
"Contact0233";48.24958907;-64.41817052;256.6200828;48.17518248;"casier+"
"Contact0234";48.24886242;-64.42169077;264.8470094;18.51360319;"casier+"
"Contact0241";48.24895048;-64.42548695;276.6661278;73.52355674;"corde"
"Contact0245";48.24564204;-64.44639771;264.2282388;54.81088255;"corde"
"Contact0250";48.24497179;-64.465621;267.8333059;54.58715596;"casier+"
"Contact0260";48.242448;-64.48085414;259.1767718;21.80451128;"casier+"
"Contact0265";48.23995215;-64.49774936;282.1163168;68.09881847;"casier+"
"Contact0283";48.22547003;-64.43484518;0.064020653;87.43286788;"corde"
