TargetName,LAT,LON,Course made Good of Fish,RangeToTarget,UserClass1
Contact0000,48.26593617,-64.35463125,36.12900471,72.26277372,
Contact0001,48.26600023,-64.35458631,48.27763316,74.51891175,
Contact0002,48.25691772,-64.36178392,56.07515743,96.61579297,
Contact0003,48.25719776,-64.36158014,51.33364178,80.4246848,
Contact0004,48.25767601,-64.36125198,41.06694336,58.99137359,
Contact0005,48.25746357,-64.36180624,50.27728531,46.91439947,
Contact0006,48.25745199,-64.36102624,42.13607895,88.05573988,
Contact0007,48.25736877,-64.3619501,53.10343783,48.57332449,
Contact0008,48.25939264,-64.35929994,28.35301369,73.12541473,
Contact0009,48.26004494,-64.35808623,53.97173165,90.77637691,
Contact0010,48.26087692,-64.3574015,21.5290913,66.62242867,
Contact0011,48.26203409,-64.35900539,20.95724517,83.87524884,
Contact0012,48.2622138,-64.35872664,29.97166561,73.58991374,
Contact0013,48.26390179,-64.35608455,46.16388738,58.85865959,
Contact0014,48.26319867,-64.35484591,43.78090888,61.44658261,
Contact0015,48.26327778,-64.3544452,38.19022327,78.10218978,
Contact0016,48.26463586,-64.3536753,42.47272177,92.36894492,
Contact0017,48.26632191,-64.35456161,38.64056799,89.8473789,Casier
Contact0018,48.26594695,-64.35472173,42.02101048,75.11612475,casier
Contact0019,48.26370322,-64.35687055,44.65309206,80.95554081,
Contact0020,48.20006849,-64.47188178,65.73645635,42.13669542,casier+
Contact0021,48.2001394,-64.47201161,67.11965818,53.21831453,casier
Contact0022,48.20266825,-64.38850989,73.40494106,28.06901128,Casier
Contact0023,48.2016323,-64.38883095,75.97098378,77.17319177,casier+
Contact0024,48.2004569,-64.39629678,78.89827446,72.66091573,casier
Contact0025,48.2005931,-64.39803692,71.45398857,26.21101526,
Contact0026,48.20143947,-64.39811931,70.0030359,64.43264764,
Contact0027,48.20017063,-64.4004857,82.45106134,40.80955541,
Contact0028,48.20108317,-64.40190489,86.04191103,73.92169874,
Contact0029,48.20101302,-64.40207822,91.03294614,66.48971466,
Contact0030,48.20069298,-64.40860556,93.63956983,31.71864632,
Contact0031,48.20374175,-64.37598665,51.96757013,59.6549436,casier
Contact0032,48.20828658,-64.36863539,47.11262623,71.46648971,casier
Contact0033,48.20872257,-64.36986131,48.21118057,25.68015926,
Contact0034,48.20818398,-64.37129021,47.25261925,51.69210352,
Contact0035,48.20700565,-64.37100848,44.80895767,57.19973457,
Contact0036,48.20721337,-64.3706214,46.11476818,60.91572661,
Contact0037,48.20745221,-64.37002256,47.65259181,71.93098872,
Contact0038,48.20889148,-64.36720325,47.3421324,96.35036496,
Contact0039,48.20959008,-64.36941458,45.60209587,73.05905773,casier+
Contact0040,48.20941559,-64.36993775,46.42529397,86.26410086,
Contact0041,48.20487439,-64.37404219,44.09432323,69.21035169,
Contact0042,48.20463781,-64.37761893,83.06696973,87.92302588,
Contact0043,48.20623742,-64.3739174,43.96487838,27.67086928,
Contact0044,48.20724713,-64.37207728,45.89492685,17.91639018,
Contact0045,48.19434589,-64.39187713,307.8783528,33.70935634,casier
Contact0046,48.19027876,-64.38463349,307.0628797,44.19376244,casier
Contact0047,48.19180744,-64.38470257,308.6914546,88.18845388,casier+
Contact0048,48.19231549,-64.3867024,309.5451585,37.88984738,casier
Contact0049,48.19163076,-64.38806964,310.9600448,85.93231586,casier
Contact0050,48.1877617,-64.38019102,320.8329155,35.56735236,
Contact0051,48.18785992,-64.38070304,320.5998951,58.12873258,casier
Contact0052,48.21891466,-64.43467386,337.0630248,91.17451891,
Contact0053,48.22033771,-64.43342405,340.7471477,52.02388852,casier
Contact0054,48.22039927,-64.43397209,339.9605492,15.85932316,casier
Contact0055,48.22576765,-64.43518187,354.7010793,63.70272064,casier
Contact0056,48.22939482,-64.43684884,358.2258323,49.9668215,
Contact0057,48.22952817,-64.43741846,353.3549895,90.97544791,
Contact0058,48.22985093,-64.43558575,353.3203806,48.50696749,casier
Contact0059,48.23113022,-64.43508435,355.8163325,94.62508295,
Contact0060,48.23161947,-64.43742163,355.1995277,73.98805574,
Contact0061,48.23339086,-64.43563862,355.047897,76.70869277,casier+
Contact0062,48.233418,-64.43542243,354.9887434,92.96615793,casier
Contact0063,48.23317363,-64.43546944,355.8448161,87.32581287,casier
Contact0064,48.23674013,-64.43574713,35.56026583,59.5222296,
Contact0065,48.23898349,-64.43441872,62.66387939,94.75779695,
Contact0066,48.23884248,-64.42576359,70.40776896,59.7876576,
Contact0067,48.23870731,-64.42051816,67.97036094,18.18181818,
Contact0068,48.23899344,-64.41491908,71.92600997,83.21167883,casier
Contact0069,48.23905139,-64.41390412,78.53716934,91.17451891,
Contact0070,48.23870792,-64.41701272,75.75785516,83.07896483,
Contact0071,48.23797377,-64.42116788,88.24635336,55.47445255,
Contact0072,48.2391125,-64.42458422,80.01309564,77.96947578,
Contact0073,48.24177211,-64.40959159,44.5595737,77.57133378,
Contact0074,48.24224462,-64.40616544,74.92283623,44.45919044,
Contact0075,48.24122437,-64.40588679,75.33960474,70.4711347,
Contact0076,48.24242702,-64.4072155,72.60406767,84.27339084,
Contact0077,48.24314627,-64.40359797,76.8860071,90.90909091,
Contact0078,48.2417483,-64.40263948,83.0760237,75.97876576,
Contact0079,48.26838812,-64.35376366,30.37801954,63.90179164,
Contact0080,48.19554096,-64.48185801,60.79891591,67.38553417,
Contact0081,48.19510449,-64.48336738,63.63137024,47.97611148,
Contact0082,48.19550586,-64.48236263,65.66971029,54.64499005,
Contact0083,48.19792817,-64.47986689,59.18496667,57.63105508,
Contact0084,48.19736542,-64.47846941,60.33062149,48.12541473,
Contact0085,48.19817873,-64.47897087,60.24847128,48.87193099,
Contact0086,48.23571774,-64.55544132,72.92802065,64.89714665,
Contact0087,48.23715367,-64.55538025,78.39276959,88.32116788,
Contact0088,48.23589322,-64.55383921,78.87413253,69.40942269,
Contact0089,48.23621009,-64.55178848,81.10334112,58.85865959,
Contact0090,48.23734294,-64.55134641,77.94222817,59.19044459,
Contact0091,48.23741463,-64.55087132,78.56238501,59.7213006,
Contact0092,48.23779228,-64.55001483,79.84487413,89.5155939,
Contact0093,48.23710019,-64.54656255,79.37832575,38.68613139,
Contact0094,48.23807465,-64.54634658,79.20999425,65.22893165,
