"TargetName";"ClickLat";"ClickLon";"Class"
"Contact0000";48.21113011;-64.32102681;"C+"
"Contact0005";48.21397781;-64.31979389;"C+"
"Contact0012";48.22237095;-64.30860834;"C+"
"Contact0021";48.23509026;-64.28307128;"C+"
"Contact0024";48.23942688;-64.27980592;"C+"
"Contact0036";48.25016591;-64.27107591;"C+"
"Contact0037";48.25042409;-64.26916305;"C+"
"Contact0052";48.24515897;-64.2215838;"C+"
"Contact0057";48.27139476;-64.20619519;"C+"
"Contact0058";48.27143496;-64.20630812;"C+"
"Contact0071";48.2791818;-64.19796784;"C+"
"Contact0077";48.27666488;-64.21823943;"C+"
"Contact0079";48.27668135;-64.21712948;"C+"
"Contact0081";48.27729899;-64.2168433;"C+"
"Contact0082";48.27656022;-64.21561766;"C+"
"Contact0094";48.28228992;-64.19835441;"C+"
"Contact0109";48.25089226;-64.16031267;"C+"
"Contact0112";48.2500046;-64.15789798;"C+"
"Contact0124";48.2600816;-64.11740363;"C+"
"Contact0140";48.26591105;-64.10392073;"C+"
"Contact0153";48.27043318;-64.08620782;"C+"
"Contact0169";48.27296318;-64.07453346;"C+"
"Contact0176";48.27240202;-64.0855178;"C+"
"Contact0196";48.25228413;-64.16202843;"C+"
