"TargetName";"ClickLat";"ClickLon";"Class"
"Contact0007";48.21437169;-64.31701456;"C"
"Contact0013";48.22324635;-64.30677528;"C"
"Contact0023";48.23698273;-64.28145294;"C"
"Contact0026";48.24155281;-64.27794533;"C"
"Contact0033";48.24651718;-64.27444944;"C"
"Contact0035";48.24730194;-64.27143826;"C"
"Contact0039";48.25062721;-64.26895639;"C"
"Contact0053";48.2689447;-64.20603804;"C"
"Contact0068";48.27836943;-64.20062994;"C"
"Contact0084";48.27667341;-64.21473893;"C"
"Contact0085";48.27785548;-64.21475858;"C"
"Contact0095";48.28166028;-64.1990749;"C"
"Contact0099";48.27996142;-64.20613935;"C"
"Contact0108";48.25229706;-64.16099102;"C"
"Contact0110";48.25074631;-64.16001349;"C"
"Contact0111";48.25128302;-64.15957544;"C"
"Contact0115";48.25138973;-64.15504748;"C"
"Contact0119";48.25110666;-64.14843256;"C"
"Contact0123";48.25943277;-64.11989479;"C"
"Contact0126";48.26079871;-64.11548512;"C"
"Contact0129";48.26280655;-64.11315628;"C"
"Contact0130";48.26306947;-64.11195961;"C"
"Contact0132";48.2635388;-64.11054454;"C"
"Contact0138";48.26460113;-64.10677574;"C"
"Contact0147";48.26534829;-64.098313;"C"
"Contact0149";48.26649655;-64.0980629;"C"
"Contact0152";48.26636038;-64.09602206;"C"
"Contact0156";48.27069361;-64.08409592;"C"
"Contact0157";48.26942407;-64.08182242;"C"
"Contact0158";48.2704262;-64.08076179;"C"
"Contact0160";48.27103661;-64.07793961;"C"
"Contact0162";48.26950684;-64.07769805;"C"
