TargetName,ClickLat,ClickLon,Class
Contact0000,48.21113011,-64.32102681,C+
Contact0001,48.21128612,-64.32112974,
Contact0002,48.21221307,-64.32160137,
Contact0003,48.21228021,-64.32152331,
Contact0004,48.21302724,-64.31917641,
Contact0005,48.21397781,-64.31979389,C+
Contact0006,48.21365846,-64.31830612,
Contact0007,48.21437169,-64.31701456,C
Contact0008,48.21447021,-64.31740047,
Contact0009,48.21564132,-64.31838095,
Contact0010,48.21537389,-64.31741619,
Contact0011,48.21770634,-64.31191684,
Contact0012,48.22237095,-64.30860834,C+
Contact0013,48.22324635,-64.30677528,C
Contact0014,48.22306033,-64.30611939,
Contact0015,48.22631034,-64.30053432,
Contact0016,48.22785238,-64.29421888,
Contact0017,48.22034677,-64.31129765,
Contact0018,48.22030469,-64.30955323,
Contact0019,48.21979943,-64.30918709,
Contact0020,48.23060547,-64.28602011,
Contact0021,48.23509026,-64.28307128,C+
Contact0022,48.23483714,-64.28086734,
Contact0023,48.23698273,-64.28145294,C
Contact0024,48.23942688,-64.27980592,C+
Contact0025,48.23902179,-64.27853283,
Contact0026,48.24155281,-64.27794533,C
Contact0027,48.24204859,-64.27727491,
Contact0028,48.24230388,-64.27616061,
Contact0029,48.24348907,-64.275555,
Contact0030,48.2443333,-64.27591028,
Contact0031,48.24358066,-64.27422593,
Contact0032,48.24464145,-64.27414475,
Contact0033,48.24651718,-64.27444944,C
Contact0034,48.24630452,-64.27400978,
Contact0035,48.24730194,-64.27143826,C
Contact0036,48.25016591,-64.27107591,C+
Contact0037,48.25042409,-64.26916305,C+
Contact0038,48.2503249,-64.27058239,
Contact0039,48.25062721,-64.26895639,C
Contact0040,48.25158601,-64.268052,
Contact0041,48.25239447,-64.26880947,
Contact0042,48.25479202,-64.26757579,
Contact0043,48.25628866,-64.26616805,
Contact0044,48.25445129,-64.26775331,
Contact0045,48.25963969,-64.25663362,
Contact0046,48.25872979,-64.25421384,
Contact0047,48.25687389,-64.25187536,
Contact0048,48.25322313,-64.247413,
Contact0049,48.25271521,-64.24568888,
Contact0050,48.25165274,-64.24413726,
Contact0051,48.2473006,-64.2338067,
Contact0052,48.24515897,-64.2215838,C+
Contact0053,48.2689447,-64.20603804,C
Contact0054,48.26790155,-64.20838596,
Contact0055,48.26881436,-64.20675709,
Contact0056,48.27076049,-64.20622532,
