reported,type,quantity,net_length,rope_length,latitude,longitude
2019-02-23,CASIER/CAGE - TRAP/POT,12,0,1200,43.2858333333333,-65.2333333333333
2018-12-05,CASIER/CAGE - TRAP/POT,3,0,0,43.4927777777778,-65.2438888888889
2019-03-27,CASIER/CAGE - TRAP/POT,1,0,0,43.2138888888889,-65.9
2019-04-10,LONGLINE-PALANGNE,1,0,13200,44.6936111111111,-59.6191666666667
2019-04-03,FILET - NET,12,1500,0,49.1638888888889,-66.805
2019-04-03,FILET - NET,12,1500,0,49.1425,-66.7688888888889
2019-04-03,FILET - NET,12,1500,0,49.1833333333333,-66.6694444444445
2019-04-03,FILET - NET,12,1500,0,49.2077777777778,-66.6819444444445
2019-04-20,CASIER/CAGE - TRAP/POT,15,0,4000,50.1533333333333,-66.4605555555556
2019-04-19,CASIER/CAGE - TRAP/POT,1,0,0,50.0086111111111,-61.0355555555556
2019-04-21,CASIER/CAGE - TRAP/POT,0,0,0,44.7533333333333,-60.3002777777778
2019-04-18,CASIER/CAGE - TRAP/POT,1,0,600,45.4052777777778,-60.2225
2019-04-10,CASIER/CAGE - TRAP/POT,1.5,0,0,48.8047222222222,-67.8744444444444
2019-04-10,CASIER/CAGE - TRAP/POT,1.5,0,0,48.8102777777778,-67.8616666666667
2019-04-24,UNCONFIRMED,1,750,1,45.775,-59.4213888888889
2019-04-25,CASIER/CAGE - TRAP/POT,1,0,0,45.0394444444444,-61.6691666666667
2019-04-12,CASIER/CAGE - TRAP/POT,0,0,0,50.0430555555556,-64.2894444444444
2019-04-09,CASIER/CAGE - TRAP/POT,1,0,750,49.8216666666667,-63.1475
2019-04-26,CASIER/CAGE - TRAP/POT,1,0,18,49.7686111111111,-62.9208333333333
2019-04-17,CASIER/CAGE - TRAP/POT,0,0,0,50.0522222222222,-64.3194444444444
2019-04-17,CASIER/CAGE - TRAP/POT,0,0,0,50.0669444444444,-64.2816666666667
2019-04-19,CASIER/CAGE - TRAP/POT,0,0,0,50.0569444444444,-64.2480555555556
2019-04-22,CASIER/CAGE - TRAP/POT,4,0,0,47.2180555555556,-55.4408333333333
2019-04-27,CASIER/CAGE - TRAP/POT,4,0,0,47.2541666666667,-55.4055555555556
2019-04-27,CASIER/CAGE - TRAP/POT,2,0,0,47.2327777777778,-55.4408333333333
2019-03-29,CASIER/CAGE - TRAP/POT,2,0,600,48.5938888888889,-68.5452777777778
2019-04-30,CASIER/CAGE - TRAP/POT,0,0,3,45.1144444444444,-61.4811111111111
2019-04-28,CASIER/CAGE - TRAP/POT,0,0,210,45.0402777777778,-61.4563888888889
2019-04-28,CASIER/CAGE - TRAP/POT,0,0,0,45.0813888888889,-61.5066666666667
2019-04-20,CASIER/CAGE - TRAP/POT,1,0,550,50.2438888888889,-65.0511111111111
2019-05-01,CASIER/CAGE - TRAP/POT,16,0,0,45.1891666666667,-61.0519444444444
2019-05-02,CASIER/CAGE - TRAP/POT,1,0,450,47.09,-62.6194444444444
2019-05-02,CASIER/CAGE - TRAP/POT,1,0,450,47.1944444444444,-62.6638888888889
2019-05-04,CASIER/CAGE - TRAP/POT,0,0,0,46.3988888888889,-61.5169444444444
2019-05-04,CASIER/CAGE - TRAP/POT,0,0,210,47.3886111111111,-64.1891666666667
2019-04-22,CASIER/CAGE - TRAP/POT,13,0,4260,48.8872222222222,-67.6097222222222
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,450,47.8636111111111,-63.8288888888889
2019-05-02,CASIER/CAGE - TRAP/POT,0,0,0,47.0416666666667,-62.5902777777778
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,420,47.4027777777778,-63.1858333333333
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,47.4863888888889,-63.3583333333333
