"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-02-23,CASIER/CAGE - TRAP/POT,12,0,1200,"43°17'09"" N","65°14'00"" W"
2018-12-05,CASIER/CAGE - TRAP/POT,3,0,0,"43°28'94"" N","65°14'38"" W"
2019-03-27,CASIER/CAGE - TRAP/POT,1,0,0,"43°12'50"" N","65°54'00"" W"
2019-04-10,LONGLINE-PALANGNE,1,0,13200,"44°41'37"" N","59°36'69"" W"
2019-04-03,FILET - NET,12,1500,0,"49°09'250"" N","66°47'`278"" W"
2019-04-03,FILET - NET,12,1500,0,"49°08'233"" N","66°46'408"" W"
2019-04-03,FILET - NET,12,1500,0,"49°10'760"" N","66°39'970"" W"
2019-04-03,FILET - NET,12,1500,0,"49°11'888"" N","66°40'755"" W"
2019-04-20,CASIER/CAGE - TRAP/POT,15,0,4000,"50°08'172"" N","66°26'298"" W"
2019-04-19,CASIER/CAGE - TRAP/POT,1,0,0,"50°00'31"" N","61°02'08"" W"
2019-04-21,CASIER/CAGE - TRAP/POT,0,0,0,"44°44'972"" N","60°17'061"" W"
2019-04-18,CASIER/CAGE - TRAP/POT,1,0,600,"45°24'919"" N","60°12'181"" W"
2019-04-18,CASIER/CAGE - TRAP/POT,3,0,780,See Notes,See Notes
2019-04-10,CASIER/CAGE - TRAP/POT,1.5,0,0,"48°47'77"" N","67°52'28"" W"
2019-04-10,CASIER/CAGE - TRAP/POT,1.5,0,0,"48°47'97"" N","67°51'42"" W"
2019-04-24,UNCONFIRMED,1,750,1,"45°45'790"" N","59°24'377"" W"
2019-04-25,CASIER/CAGE - TRAP/POT,1,0,0,"45°01'82"" N","61°40'09"" W"
2019-04-22,CASIER/CAGE - TRAP/POT,6,0,0,See Notes,See Notes
2019-04-12,CASIER/CAGE - TRAP/POT,0,0,0,"50°02'35"" N","64°17'22"" W"
2019-04-09,CASIER/CAGE - TRAP/POT,1,0,750,"49°49'18"" N","63°08'51"" W"
2019-04-26,CASIER/CAGE - TRAP/POT,1,0,18,"49°45'67"" N","62°54'75"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,0,0,0,"50°03'25"" N","64°14'53"" W"
2019-04-17,CASIER/CAGE - TRAP/POT,0,0,0,"50°02'68"" N","64°18'70"" W"
2019-04-17,CASIER/CAGE - TRAP/POT,0,0,0,"50°03'61"" N","64°16'54"" W"
2019-04-19,CASIER/CAGE - TRAP/POT,0,0,0,"50°03'25"" N","64°14'53"" W"
2019-04-22,CASIER/CAGE - TRAP/POT,4,0,0,"47°13'05"" N","55°26'27"" W"
2019-04-27,CASIER/CAGE - TRAP/POT,4,0,0,"47°14'75"" W","55°24'20"" W"
2019-04-27,CASIER/CAGE - TRAP/POT,2,0,0,"47°13'58"" N","55°26'27"" W"
2019-03-29,CASIER/CAGE - TRAP/POT,2,0,600,"48°34'598"" N","68°32'843"" W"
2019-04-30,CASIER/CAGE - TRAP/POT,0,0,3,"45°06'52"" N","61°28'52"" W"
2019-04-28,CASIER/CAGE - TRAP/POT,0,0,210,"45°02'25"" N","61°26'83"" W"
2019-04-28,CASIER/CAGE - TRAP/POT,0,0,0,"45°04'53"" N","61°29'84"" W"
2019-04-20,CASIER/CAGE - TRAP/POT,1,0,550,"50°14'38"" N","65°03'04"" W"
2019-05-01,CASIER/CAGE - TRAP/POT,16,0,0,"45°11'21"" N","61°03'07"" W"
2019-05-02,CASIER/CAGE - TRAP/POT,1,0,450,"47°04'984"" N","62°36'970"" W"
2019-05-02,CASIER/CAGE - TRAP/POT,1,0,450,"47°11'940"" N","62°39'450"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,0,0,0,"46°23'456"" N","61°31'601"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,0,0,210,"47°22'379"" N","64°11'621"" W"
2019-04-22,CASIER/CAGE - TRAP/POT,13,0,4260,"48°52'374"" N","67°35'895"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,450,"47°51'049"" N","63°49'144"" W"
2019-05-02,CASIER/CAGE - TRAP/POT,0,0,0,"47°02'530"" N","62°35'825"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"47°52'030"" N","63°46'678"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,0,"47°53'639"" N","63°17'174"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,30,0,0,"46°20'##"" N","54°48'##"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,420,"47°24'10"" N","63°11'09"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"47°29'11"" N","63°21'30"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"46°48'87"" N","63°57'21"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,"47°36'21"" N","63°18'09"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"47°38'30"" N","63°20'73"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,480,"47°54'64"" N","65°04'63"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,2,0,15,"45°38'744"" N","60°56'419"" W"
2019-04-30,CASIER/CAGE - TRAP/POT,0,0,0,"47°13'##"" N","55°26'##"" W"
2019-05-02,CASIER/CAGE - TRAP/POT,20,0,90,"45°28'553"" N","60°55'404"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,"45°11'1"" N","61°17'0"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,Unreadable,"##°##'##"" N","##°##'##"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,"42°06'09"" N","61°32'09"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,498,"47°38'69"" N","63°29'18"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,420,"47°21'178"" N","62°32'405"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,2,0,60,"46°13'8146"" N","61°19'0672"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"46°18'3527"" N","61°15'9667"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"46°15'4196"" N","61°18'4969"" W"
2019-05-02,CASIER/CAGE - TRAP/POT,1,0,300,"47°31'96"" N","63°41'55"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,300,"47°36'65"" N","63°41'25"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"47°36'53"" N","63°37'19"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,20,"47°34'29"" N","63°43'00"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,20,"47°35'93"" N","63°34'15"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,3,"45°31'5"" N","60°55'5"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,42,"47°15'07"" N","62°39'68"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,"45°29'84"" N","61°04'059"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,240,"47°07'30"" N","61°06'25"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,1080,"48°14'56"" N","64°13'62"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,360,"48°03'85"" N","63°47'41"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,0,"46°60'55"" N","64°15'47"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"48°07'84"" N","64°36'58"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,"47°17'50"" N","63°04'58"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,0,"46°43'88"" N","63°54'12"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,19,0,390,"47°27'935"" N","61°16'445"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,400,"48°02'82"" N","64°49'02"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,408,"48°04'09"" N","64°46'02"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,400,"46°46'730"" N","61°50'871"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,400,"46°46'566"" N","61°51'111"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,480,"47°29'31"" N","62°30'10"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,25,0,3000,"46°30'5"" N","56°10'046"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,2,0,0,"47°25'08"" N","61°38'17"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,450,"47°45'13"" N","63°15'14"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,360,"47°43'51"" N","63°38'98"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,"47°28'27"" N","61°29'59"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,"46°52'213"" N","63°58'685"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,180,"47°24'00"" N","63°25'00"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,180,"47°31'20"" N","63°25'25"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,120,"44°50'754"" N","58°23'320"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,0,"45°26'261"" N","59°52'590"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,900,"45°42'544"" N","59°19'327"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,0,0,0,"47°31'144"" N","63°24'189"" W"
2019-05-02,CASIER/CAGE - TRAP/POT,2,0,0,"45°11'782"" N","61°03'919"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'55"" N","61°22'188"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'60"" N","61°22'50"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,300,"47°41'86"" N","62°35'68"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,0,"47°31'144"" N","63°24'189"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,"47°25'41"" N","63°11'67"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,8,0,0,"45°12'98"" N","60°59'015"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'3500"" N","64°00'663"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,450,"47°53'250"" N","65°07'784"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,"47°20'85"" N","63°32'60"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,2,0,0,"##°##'##"" N","##°##'##"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,500,"46°42'944"" N","61°27'015"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,500,"46°43'775"" N","61°26'887"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,500,"46°42'827"" N","61°27'079"" W"
